team_id,team_name,team_conference,total_wins,total_losses,conf_wins,conf_losses,home_wins,home_losses,road_wins,road_losses,points_perGame,total_offense,pass_offense,run_offense,thirdDown_offense,redzoneTD_offense,sacks_allowed,ppg_allowed,total_defense,pass_defense,run_defense,thirdDown_defense,redzoneTD_defense,team_sacks,turnover_margin,timeOf_posession,returning_productionPercent,transferPortal_points,recruitingRankAvg_lastTwoYr,new_headCoach,team_logoLink
1,Clemson,ACC,9,3,6,2,6,0,3,3,26.3,359.2,191.2,168,0.371,0.63,21,15,308.4,209.3,99.2,0.341,0.323,42,3,29,72,3.08,7.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
2,Wake Forest,ACC,10,2,7,1,6,0,4,2,41,467.9,307.4,160.5,0.491,0.672,35,30.3,423.8,221.8,202,0.387,0.608,38,9,28,70,10.91,68.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
3,NC State,ACC,9,3,6,2,7,0,2,3,33.1,414.6,288.4,126.2,0.398,0.674,25,19.7,331.6,207.6,124,0.293,0.613,33,6,31,82,6.72,50,N,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
4,Louisville,ACC,6,6,4,4,4,3,2,3,31.6,446.3,236.5,209.8,0.4,0.667,20,27,401.8,245.1,156.7,0.376,0.653,33,1,30,79,48.31,45.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
5,Florida State,ACC,5,7,4,4,3,4,2,3,27.6,379.3,201.6,177.8,0.346,0.738,36,26.5,377.8,233.2,144.6,0.404,0.618,33,1,28,78,55.23,21.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
6,Boston College,ACC,6,6,2,6,3,3,3,3,24.7,350.3,184.8,165.6,0.394,0.605,26,22.2,343.8,173.5,170.3,0.345,0.564,20,-1,29,60,10.51,77.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
7,Syracuse,ACC,5,7,2,6,3,4,2,3,24.9,366.5,153,213.5,0.327,0.588,34,26.3,330.3,204.3,126.1,0.372,0.5,37,-6,30,80,31.6,64,N,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
8,Miami,ACC,7,5,5,3,5,2,2,3,34.1,448.8,321.2,127.7,0.42,0.593,30,28.4,389.6,250.6,139,0.397,0.59,33,-6,27,73,54.04,14.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
9,Pittsburgh,ACC,10,2,7,1,5,2,5,0,41.4,487.9,337.4,150.5,0.441,0.71,34,23.1,348.6,257.4,91.2,0.335,0.596,54,8,31,69,27.72,52.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
10,Virginia,ACC,6,6,4,4,4,3,2,3,34.6,515.8,392.6,123.2,0.459,0.633,40,31.8,466,240.2,225.8,0.41,0.51,19,-3,30,53,28.28,49.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
11,UNC,ACC,6,6,3,5,6,1,0,5,35.2,468.4,255.7,212.7,0.433,0.571,49,31.6,408.1,237.7,170.4,0.417,0.549,29,2,27,64,30.11,12.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
12,Virginia Tech,ACC,6,6,4,4,4,3,2,3,23.7,361.9,176.4,185.5,0.401,0.558,30,22.9,385.3,219.5,165.8,0.353,0.65,25,1,29,64,22.55,39.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
13,Georgia Tech,ACC,3,9,2,6,2,5,1,4,24,367.3,198.3,169,0.354,0.486,33,33.5,454.3,273,181.3,0.452,0.608,20,-3,29,49,45.77,50.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
14,Duke,ACC,3,9,0,8,3,4,0,5,22.8,418.2,237.9,180.3,0.424,0.465,27,39.8,518,311.8,206.3,0.48,0.673,21,-7,29,49,15.11,54.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
15,Houston,AAC,11,1,8,0,5,0,6,1,35.9,413.9,271.6,142.3,0.421,0.709,39,21,298,191.5,106.5,0.257,0.441,45,9,33,64,30.05,67.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
16,Cincinnati,AAC,12,0,8,0,7,0,5,0,36.9,413.1,241.2,171.9,0.395,0.667,26,16.1,305.8,168.3,137.5,0.338,0.548,39,12,27,60,30.56,43.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
17,UCF,AAC,8,4,5,3,7,0,1,4,31.9,402.5,206.2,196.3,0.379,0.724,25,25.2,368.9,213.3,155.6,0.378,0.558,36,6,28,69,52.38,55.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
18,ECU,AAC,7,5,5,3,4,2,3,3,29.7,433.2,270.8,162.4,0.346,0.489,37,26.3,394.8,233.1,161.8,0.327,0.61,26,-1,32,71,24.62,91.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
19,Tulsa,AAC,6,6,5,3,3,3,3,3,26.5,442.3,250.3,192,0.384,0.48,25,27.4,379.5,231.8,147.7,0.385,0.632,25,-6,30,57,14.48,118.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
20,SMU,AAC,8,4,4,4,5,1,3,3,38.4,465.9,304.5,161.4,0.435,0.64,16,28.4,415.6,278.1,137.5,0.38,0.58,27,-3,29,73,52.61,66.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
21,Memphis,AAC,6,6,3,5,5,2,1,4,30.3,435.8,298.8,137.1,0.406,0.578,29,29.3,418,250.6,167.4,0.48,0.592,27,-1,26,69,21.9,53,N,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
22,Navy,AAC,4,8,3,5,1,5,3,3,20.1,282.8,56.8,226,0.374,0.541,30,28.3,349.2,218.2,131,0.394,0.578,16,5,34,53,0,120,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
23,Temple,AAC,3,9,1,7,2,4,1,5,16.3,286.8,177.9,108.9,0.28,0.56,29,37.5,398.4,177.9,220.5,0.421,0.733,17,-2,27,66,27.21,106.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
24,USF,AAC,2,10,1,7,2,4,0,6,23.2,350.6,192.4,158.2,0.343,0.605,25,34.7,471.4,264.2,207.3,0.396,0.635,9,-4,30,85,33.87,78,N,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png
25,Tulane,AAC,2,10,1,7,2,4,0,6,27.8,386.5,221.8,164.8,0.361,0.609,32,34,429.7,271.3,158.4,0.4,0.745,34,-9,29,71,22.34,77,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
26,Michigan,Big Ten,11,1,8,1,7,0,4,1,35.8,443.1,228.7,214.4,0.458,0.612,14,16.1,316.2,194.7,121.5,0.346,0.457,34,2,31,65,19.16,11,N,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
27,Ohio State,Big Ten,10,2,8,1,6,1,4,1,45.7,561.2,380.9,180.3,0.523,0.644,17,20.9,366.6,246.9,119.7,0.414,0.738,37,9,29,73,19.93,3,N,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
28,Michigan State,Big Ten,10,2,7,2,6,0,4,2,31.8,429.3,253.7,175.6,0.4,0.646,21,25.7,455.6,337.7,117.9,0.402,0.491,43,3,28,73,49.55,34.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
29,Penn State,Big Ten,7,5,4,5,5,2,2,3,24.8,376.4,268.5,107.8,0.386,0.476,34,16.8,344,208.3,135.7,0.358,0.375,27,6,27,65,25.91,13.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
30,Maryland,Big Ten,6,6,3,6,4,3,2,3,29.3,440.8,304.6,136.2,0.382,0.55,26,32.4,415.6,258.1,157.5,0.404,0.571,31,-6,28,70,12.67,24.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
31,Rutgers,Big Ten,5,7,2,7,2,4,3,3,19.7,309.8,171.5,138.4,0.321,0.522,22,24.6,391.6,229.2,162.4,0.339,0.561,23,4,30,66,33.42,37.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
32,Indiana,Big Ten,2,10,0,9,1,5,1,5,17.3,290.8,175.5,115.3,0.369,0.543,29,33.3,383.8,235.7,148.1,0.365,0.709,17,-13,29,67,37.83,39.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
